patente_id,nro_registro,nro_expediente_db,nro_expediente_indecopi,tipo,titulo,ipc_codigo,fuente,fuente_url,estado_revision,notas
407,1,000610-2022/DIN,000610-2022/DIN,Modelo de utilidad,ORTESIS SEMIRIGIDO DE PRESOTERAPIA PARA EXTREMIDADES,,,,pendiente,
427,2237,000719-2022/DIN,000719-2022/DIN,Modelo de utilidad,UN EQUIPO DE ELECTROHILADO CON SISTEMA DE ENROLLADO DOBLE DE TELA Y ESTERILIZADOR DE MEMBRANAS,,,,pendiente,"Revisar: posibles expedientes adicionales 000719-2022; 000001-2025; 000003-2024; 000004-2024"
340,27,001811-2022/DIN,001811-2022/DIN,Modelo de utilidad,Silla con corrector de postura para estudiantes,,,,pendiente,
408,1,001810-2022/DIN,001810-2022/DIN,Modelo de utilidad,Pastillero electrónico con sistema de trituración incorporado,,,,pendiente,
395,001740-2024/DIN-INDECOPI,001976-2022/DIN,001976-2022/DIN,Modelo de utilidad,SISTEMA DE DIAGNÓSTICO DE EMERGENCIAS MÉDICAS,,,,pendiente,
474,003473-2024/DIN-INDECOPI,001978-2022/DIN,001978-2022/DIN,Modelo de utilidad,CONTROL REMOTO DE EQUIPOS PARA PRUEBAS MÉDICAS,,,,pendiente,
328,1,002056-2022/DIN ,002056-2022/DIN,Modelo de utilidad,Bolsa ergonómica de colección de heces de alpacas,,,,pendiente,
341,27O2,002049-2022/DIN,002049-2022/DIN,Modelo de utilidad,CALCULADORA GRAFICADORA CON SISTEMA DE IMPRESIÓN DE GRÁFICOS POR INYECCIÓN,,,,pendiente,
364,000638,002050-2022/DIN ,002050-2022/DIN,Modelo de utilidad,Mochila autónoma de carga suspendida con sistema de refrigeración,,,,pendiente,
454,966-2024,2196-2022,002196-2022/DIN,Modelo de utilidad,SISTEMA TÉRMICO CIRCULADO PARA INVERNADEROS SUBTERRÁNEOS,,,,pendiente,
455,967-2024/DIN-INDECOPI,2602-2022/DIN,002602-2022/DIN,Modelo de utilidad,SISTEMA DE INSERCIÓN DE CULTIVO A TIERRAS EXTERNAS PARA INVERNADERO,,,,pendiente,
437,929-2024,2651-2022,002651-2022/DIN,Modelo de utilidad,EQUIPO PROCESADOR DE CARBON NATURAL PORTÁTIL CON FILTRO,,,,pendiente,
440,1322-2024,2652-2022,002652-2022/DIN,Modelo de utilidad,MASCARILLA DE FILTRO CAMBIABLE,,,,pendiente,
441,1892-2024,2648-2022,002648-2022/DIN,Modelo de utilidad,BOMBEADORA DE MEZCLA PROTECTORA PARA INVERNADEROS SUBTERRÁNEOS,,,,pendiente,
416,1,002697-2022/DIN,002697-2022/DIN,Modelo de utilidad,MOCHILA ERGONÓMICA PARA ESTUDIANTES CON SISTEMA DE CALEFACCIÓN,,,,pendiente,
410,1,002704-2022/DIN,002704-2022/DIN,Modelo de utilidad,PISTOLA PARA BLANQUEAMIENTO DENTAL HÍBRIDA,,,,pendiente,
411,1,002706-2022/DIN,002706-2022/DIN,Modelo de utilidad,COLGADOR PORTÁTIL CON DESINFECCIÓN UV Y PLANCHA VAPORIZADORA,,,,pendiente,
412,1,002707-2022/DIN,002707-2022/DIN,Modelo de utilidad,PORTACUADROS ILUMINADO CON SISTEMA DE PRESERVACIÓN  DE DOCUMENTOS O PINTURAS,,,,pendiente,
413,1,002709-2022/DIN,002709-2022/DIN,Modelo de utilidad,SISTEMA ECOLÓGICO DE MOLIENDA DE GRANOS,,,,pendiente,
414,1,002710-2022/DIN,002710-2022/DIN,Modelo de utilidad,LIMPIA PARABRISAS AUTÓNOMO PARA VENTANAS EXTERIORES,,,,pendiente,
